url,product_name,brand_name,target_gender,image_url,top_notes,middle_notes,base_notes
https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-25th-Anniversary-Edition-for-Women-24789.html,Eternity 25th Anniversary Edition for Women Calvin Klein,Calvin Klein,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.24789.jpg,"Sage, Freesia, Mandarin Orange","White Lily, Marigold, Lily-of-the-Valley, Narcissus","Sandalwood, Amber, Patchouli"
https://www.fragrantica.com/perfume/Calvin-Klein/Obsessed-for-Women-45708.html,Obsessed for Women Calvin Klein,Calvin Klein,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.45708.jpg,"Citruses, elemi, Neroli, Bergamot","Lavender, Sage, Violet Leaf, Orange Blossom, Lily-of-the-Valley, Rose","Musk, Ambrette (Musk Mallow), Iso E Super"
https://www.fragrantica.com/perfume/Calvin-Klein/Cotton-Musk-Body-Mist-109953.html,Cotton Musk Body Mist Calvin Klein,Calvin Klein,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.109953.jpg,,White Musk,
https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-For-Men-Summer-2020-59859.html,Eternity For Men Summer 2020 Calvin Klein,Calvin Klein,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.59859.jpg,"Sage, Star Anise, Bergamot","Coconut Nectar, Saffron, Osmanthus","Australian Sandalwood, Olibanum, Labdanum"
https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-Moment-259.html,Eternity Moment Calvin Klein,Calvin Klein,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.259.jpg,"Litchi, Raspberry, Melon, Guava","Chinese Pink Peony, Jasmine, Water Lily, Passion Flower","Musk, Brazilian Rosewood, Cashmere Wood, Sandalwood"
https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-For-Men-Collector-Edition-2016-42467.html,Eternity For Men Collector Edition 2016 Calvin Klein,Calvin Klein,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.42467.jpg,"Sage, Mandarin Orange, Galbanum","Basil, Geranium, Lavender","Moss, Palisander Rosewood, Amber"
https://www.fragrantica.com/perfume/Calvin-Klein/CK-One-Summer-2016-35568.html,CK One Summer 2016 Calvin Klein,Calvin Klein,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.35568.jpg,"Mojito, Lime, Lemon, Green Apple, Ginger","Guava, Juniper, Tahitian Tiare Flower","Coconut Milk, Cedar, Moss"
https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-Aqua-for-Men-8098.html,Eternity Aqua for Men Calvin Klein,Calvin Klein,for men,https://fimgs.net/mdimg/perfume-thumbs/375x500.8098.jpg,"Cucumber, Citruses, Green Notes, Lotus","Lavender, Plum, Sichuan Pepper, Virginia Cedar","Musk, Sandalwood, Patchouli, Guaiac Wood"
https://www.fragrantica.com/perfume/Calvin-Klein/CK-One-Summer-2011-11339.html,CK One Summer 2011 Calvin Klein,Calvin Klein,for women and men,https://fimgs.net/mdimg/perfume-thumbs/375x500.11339.jpg,"Citruses, Tangerine, Melon, Fern","Sea water, Amalfi Lemon, Rhuburb, Lemon Verbena, Freesia","Peach, Virginia Cedar, Musk, Incense"
https://www.fragrantica.com/perfume/Calvin-Klein/Euphoria-Eau-de-Toilette-7420.html,Euphoria Eau de Toilette Calvin Klein,Calvin Klein,for women,https://fimgs.net/mdimg/perfume-thumbs/375x500.7420.jpg,"Peach, Bergamot, Green Notes","Orchid, Lotus, Honeysuckle, Champaca","Sandalwood, Amber"
